Form type,Form description,Filing date,Reporting date,Act,Film number(s),File number(s),Accession number,Size,Filings URL
8-K,Current report,5/3/2023,4/28/2023,34,23883667,,0000929638-23-001342,69613,https://www.sec.gov/Archives/edgar/data/1954436/000092963823001342/0000929638-23-001342-index.htm
10-D,Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934],4/28/2023,3/31/2023,34,23865460,,0000929638-23-001289,334420,https://www.sec.gov/Archives/edgar/data/1954436/000092963823001289/0000929638-23-001289-index.htm
ABS-EE,Asset-Backed Electronic Exhibits,4/28/2023,3/31/2023,34,23862075,,0000929638-23-001259,109578295,https://www.sec.gov/Archives/edgar/data/1954436/000092963823001259/0000929638-23-001259-index.htm
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]",3/31/2023,12/31/2022,34,23784761,,0000929638-23-001050,270482,https://www.sec.gov/Archives/edgar/data/1954436/000092963823001050/0000929638-23-001050-index.htm
10-D,Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934],3/28/2023,2/28/2023,34,23768225,,0000929638-23-000982,328702,https://www.sec.gov/Archives/edgar/data/1954436/000092963823000982/0000929638-23-000982-index.htm
ABS-EE,Asset-Backed Electronic Exhibits,3/28/2023,2/28/2023,34,23766974,,0000929638-23-000958,109516053,https://www.sec.gov/Archives/edgar/data/1954436/000092963823000958/0000929638-23-000958-index.htm
10-D,Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934],2/28/2023,1/31/2023,34,23683325,,0000929638-23-000757,335947,https://www.sec.gov/Archives/edgar/data/1954436/000092963823000757/0000929638-23-000757-index.htm
ABS-EE,Asset-Backed Electronic Exhibits,2/28/2023,1/31/2023,34,23681030,,0000929638-23-000728,109600006,https://www.sec.gov/Archives/edgar/data/1954436/000092963823000728/0000929638-23-000728-index.htm
10-D,Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934],1/30/2023,12/31/2022,34,23566839,,0000929638-23-000202,428836,https://www.sec.gov/Archives/edgar/data/1954436/000092963823000202/0000929638-23-000202-index.htm
ABS-EE,Asset-Backed Electronic Exhibits,1/30/2023,12/31/2022,34,23566324,,0000929638-23-000177,109729833,https://www.sec.gov/Archives/edgar/data/1954436/000092963823000177/0000929638-23-000177-index.htm
ABS-EE,Asset-Backed Electronic Exhibits,1/30/2023,11/30/2022,34,23566315,,0000929638-23-000176,108845847,https://www.sec.gov/Archives/edgar/data/1954436/000092963823000176/0000929638-23-000176-index.htm
8-K,Current report,12/9/2022,12/9/2022,34,221455662,,0000929638-22-001832,3603422,https://www.sec.gov/Archives/edgar/data/1954436/000092963822001832/0000929638-22-001832-index.htm
8-K,Current report,12/9/2022,12/9/2022,34,221454454,,0000929638-22-001826,86116,https://www.sec.gov/Archives/edgar/data/1954436/000092963822001826/0000929638-22-001826-index.htm
424B5,Prospectus [Rule 424(b)(5)],12/6/2022,,33,221448475,,0000929638-22-001818,5900029,https://www.sec.gov/Archives/edgar/data/1954436/000092963822001818/0000929638-22-001818-index.htm
8-K,Current report,12/6/2022,11/30/2022,34,221448415,,0000929638-22-001817,3860188,https://www.sec.gov/Archives/edgar/data/1954436/000092963822001817/0000929638-22-001817-index.htm
FWP,Filing under Securities Act Rules 163/433 of free writing prospectuses,12/1/2022,,34,221436585,,0000929638-22-001781,20762,https://www.sec.gov/Archives/edgar/data/1954436/000092963822001781/0000929638-22-001781-index.htm
FWP,Filing under Securities Act Rules 163/433 of free writing prospectuses,11/25/2022,,34,221418270,,0000929638-22-001728,18867,https://www.sec.gov/Archives/edgar/data/1954436/000092963822001728/0000929638-22-001728-index.htm
424H,Form - 424H,11/25/2022,,33,221418259,,0000929638-22-001727,5934527,https://www.sec.gov/Archives/edgar/data/1954436/000092963822001727/0000929638-22-001727-index.htm
ABS-EE,Asset-Backed Electronic Exhibits,11/23/2022,10/31/2022,34,221415942,,0000929638-22-001724,88593055,https://www.sec.gov/Archives/edgar/data/1954436/000092963822001724/0000929638-22-001724-index.htm
ABS-15G,Asset-backed securitizer report pursuant to Section 15G,11/18/2022,11/18/2022,DF,,,0000929638-22-001709,82194,https://www.sec.gov/Archives/edgar/data/1954436/000092963822001709/0000929638-22-001709-index.htm
